,loaninterestrate,loanoriginalbalance,loanpaymentcount,debtratio,rbl
10699,10.25,25752.98,60,0.2685,3
3527,10.25,15000.0,36,0.326,3
13692,6.75,14981.61,0,0.1192,2
1021,10.25,20000.0,48,0.4374,3
21056,6.75,5000.0,0,0.2201,1
14955,4.25,19857.62,60,0.4258,2
12660,14.25,4000.0,24,0.2957,4
2137,9.25,3000.0,12,0.0642,3
13351,5.75,30000.0,60,0.5419,1
19179,3.75,20026.05,60,0.1632,2
5711,6.75,1200.0,24,0.256,2
3480,9.25,1200.0,12,0.1734,3
2482,3.5,19564.5,41,0.7299,1
6611,4.25,2500.0,36,0.0553,1
18948,3.0,20251.54,60,0.4199,1
13075,5.75,18000.0,60,0.3846,1
20681,4.5,20000.0,60,0.1908,1
15295,7.75,51064.82,72,0.5263,2
14360,16.75,17857.6,60,0.3644,5
18828,13.0,1000.0,0,0.3955,3
3671,4.25,7883.0,36,0.3119,2
7821,6.0,15000.0,60,0.3338,1
20286,7.0,17000.0,60,0.4584,3
9362,7.75,20000.0,60,0.47,2
10980,5.75,10000.0,60,0.0674,1
894,15.75,26002.51,60,0.3889,4
5539,7.0,10000.0,60,0.6779,1
15608,7.0,7000.0,60,0.1767,1
20390,6.75,20000.0,0,0.4692,2
2003,8.25,30108.47,60,0.4267,2
2650,6.0,22072.0,60,0.362,1
2278,6.0,29616.54,84,0.1773,2
3191,9.75,2357.6,24,0.422,3
18422,6.0,5000.0,48,0.3315,1
3411,6.25,2500.0,12,0.0991,2
3472,8.25,28312.67,60,0.3683,2
15577,8.25,20545.25,72,0.2457,2
15813,6.5,8693.45,48,0.2947,2
950,6.75,15256.0,60,0.2126,3
2456,6.75,2000.0,24,0.5012,2
21333,4.5,33500.0,60,0.483,2
16348,6.75,10000.0,0,0.222,3
2476,3.0,5881.52,36,0.5729,1
21670,10.0,24000.0,60,0.3361,3
20626,6.75,10000.0,0,0.3945,1
7536,6.25,2000.0,12,0.3451,2
22148,15.25,15880.97,60,0.2023,4
1643,3.0,12500.0,36,0.4189,1
7048,5.5,3500.0,24,0.0717,1
18807,13.0,500.0,0,0.5865,3
12239,6.75,5000.0,0,0.2629,1
7945,9.75,2800.0,24,0.3429,3
19539,5.75,7000.0,43,0.5236,1
2613,6.25,3000.0,12,0.4083,2
8634,6.25,8000.0,36,0.4229,1
21775,6.75,5000.0,0,0.4907,1
19252,14.2,4361.48,36,0.0866,4
464,6.75,20000.0,0,0.3232,1
2311,14.5,14742.41,60,0.246,4
13231,9.5,3700.0,24,0.1381,3
2870,7.25,6500.0,36,0.1563,2
514,14.75,5000.0,36,0.3395,4
17424,6.75,15000.0,0,0.4058,2
18679,14.75,5600.0,36,0.2522,4
15798,7.25,10000.0,48,0.2498,2
16618,8.0,25000.0,60,0.2025,3
1266,8.5,13180.36,60,0.4183,2
2484,10.75,31467.0,60,0.2869,3
17143,6.75,16264.24,59,0.1708,3
4684,5.5,6000.0,24,0.4874,1
15881,7.25,30000.0,72,0.3505,1
6957,6.0,30000.0,60,0.2797,1
4391,6.75,10000.0,0,0.4047,2
11628,7.25,8000.0,48,0.1404,2
1459,6.0,20000.0,36,0.2364,1
17524,7.0,5000.0,36,0.3691,2
465,6.25,20000.0,60,0.1248,1
6197,15.5,5000.0,36,0.4169,4
5868,4.25,12000.0,36,0.1705,1
8624,7.0,14501.79,60,0.2065,1
2596,13.75,11440.72,36,0.2383,4
1371,6.0,25000.0,60,0.102,1
7976,6.0,10000.0,36,0.3633,1
3726,5.75,39565.65,69,0.5394,2
17869,6.25,13000.0,60,0.3192,1
74,6.75,10000.0,0,0.3925,3
15903,6.0,10000.0,60,0.0986,1
10039,10.25,19205.52,60,0.4098,3
6770,6.0,19454.15,60,0.4459,1
365,14.0,20494.71,72,0.1295,4
7101,2.75,7627.8,36,0.3879,1
11410,3.5,7074.37,24,0.499,2
4422,4.75,8000.0,48,0.4002,2
9368,5.75,25000.0,60,0.2931,1
15619,6.0,5000.0,48,0.4217,1
