,loanpurposecode,loanapprovalcode,loaninterestrate,loanoriginalbalance,loanpayment,loanpaymentcount,loancreditscore,debtratio,rbl
10699,3,585,10.25,25752.98,600.74,60,648,0.2685,3
3527,3,1437,10.25,15000.0,516.74,36,678,0.326,3
13692,40,780,6.75,14981.61,459.0,0,684,0.1192,2
1021,25,1437,10.25,20000.0,530.11,48,649,0.4374,3
21056,40,1090,6.75,5000.0,134.0,0,692,0.2201,1
14955,13,780,4.25,19857.62,386.89,60,701,0.4258,2
12660,25,1017,14.25,4000.0,198.16,24,0,0.2957,4
2137,25,1017,9.25,3000.0,269.58,12,666,0.0642,3
13351,25,780,5.75,30000.0,633.12,60,814,0.5419,1
19179,14,1437,3.75,20026.05,402.19,60,707,0.1632,2
5711,2,585,6.75,1200.0,54.03,24,682,0.256,2
3480,2,1916,9.25,1200.0,107.47,12,665,0.1734,3
2482,13,780,3.5,19564.5,507.25,41,739,0.7299,1
6611,2,166,4.25,2500.0,76.47,36,768,0.0553,1
18948,13,780,3.0,20251.54,363.95,60,726,0.4199,1
13075,25,780,5.75,18000.0,379.36,60,736,0.3846,1
20681,25,55,4.5,20000.0,409.6,60,755,0.1908,1
15295,3,47,7.75,51064.82,947.68,72,716,0.5263,2
14360,3,1176,16.75,17857.6,550.25,60,597,0.3644,5
18828,43,47,13.0,1000.0,25.0,0,678,0.3955,3
3671,13,1437,4.25,7883.0,240.88,36,707,0.3119,2
7821,3,780,6.0,15000.0,304.27,60,783,0.3338,1
20286,3,570,7.0,17000.0,368.68,60,664,0.4584,3
9362,3,570,7.75,20000.0,404.26,60,691,0.47,2
10980,25,780,5.75,10000.0,192.47,60,798,0.0674,1
894,3,585,15.75,26002.51,686.14,60,630,0.3889,4
5539,3,780,7.0,10000.0,215.89,60,761,0.6779,1
15608,24,780,7.0,7000.0,152.67,60,740,0.1767,1
20390,40,570,6.75,20000.0,515.0,0,705,0.4692,2
2003,25,1407,8.25,30108.47,645.35,60,699,0.4267,2
2650,3,780,6.0,22072.0,427.18,60,798,0.362,1
2278,9999,1437,6.0,29616.54,433.74,84,686,0.1773,2
3191,25,1407,9.75,2357.6,109.64,24,662,0.422,3
18422,25,780,6.0,5000.0,122.28,48,731,0.3315,1
3411,25,1916,6.25,2500.0,218.73,12,694,0.0991,2
3472,2,1916,8.25,28312.67,633.48,60,684,0.3683,2
15577,3,585,8.25,20545.25,373.89,72,719,0.2457,2
15813,3,780,6.5,8693.45,211.07,48,693,0.2947,2
950,13,1176,6.75,15256.0,385.49,60,653,0.2126,3
2456,25,1916,6.75,2000.0,90.21,24,686,0.5012,2
21333,3,585,4.5,33500.0,656.08,60,706,0.483,2
16348,40,570,6.75,10000.0,236.0,0,654,0.222,3
2476,13,780,3.0,5881.52,179.53,36,781,0.5729,1
21670,3,55,10.0,24000.0,573.42,60,665,0.3361,3
20626,40,585,6.75,10000.0,50.0,0,816,0.3945,1
7536,25,1407,6.25,2000.0,173.28,12,711,0.3451,2
22148,3,585,15.25,15880.97,414.59,60,632,0.2023,4
1643,13,780,3.0,12500.0,363.52,36,758,0.4189,1
7048,25,780,5.5,3500.0,154.7,24,743,0.0717,1
18807,43,585,13.0,500.0,25.0,0,674,0.5865,3
12239,40,780,6.75,5000.0,70.0,0,739,0.2629,1
7945,25,585,9.75,2800.0,132.04,24,676,0.3429,3
19539,3,570,5.75,7000.0,180.43,43,730,0.5236,1
2613,2,1407,6.25,3000.0,264.53,12,687,0.4083,2
8634,25,780,6.25,8000.0,247.94,36,750,0.4229,1
21775,40,55,6.75,5000.0,129.0,0,747,0.4907,1
19252,3,1437,14.2,4361.48,157.64,36,625,0.0866,4
464,40,1017,6.75,20000.0,650.0,0,666,0.3232,1
2311,9999,1437,14.5,14742.41,348.98,60,0,0.246,4
13231,25,1176,9.5,3700.0,176.72,24,668,0.1381,3
2870,2,1916,7.25,6500.0,214.64,36,698,0.1563,2
514,25,1176,14.75,5000.0,183.29,36,626,0.3395,4
17424,40,1017,6.75,15000.0,50.0,0,686,0.4058,2
18679,25,55,14.75,5600.0,200.31,36,0,0.2522,4
15798,25,1176,7.25,10000.0,240.93,48,687,0.2498,2
16618,25,1437,8.0,25000.0,521.42,60,669,0.2025,3
1266,3,570,8.5,13180.36,270.29,60,714,0.4183,2
